Outlet_ID,Year,Month,Distributor_ID,SKU_ID,Volume_Liters,Total_Bill_Value,rejection_reason
OUT_10391,2025,11,DIST_C_01,SKU_06,641.3336131955164,53872.07116614108,statistical_outlier_volume
OUT_01691,2025,3,DIST_W_03,SKU_06,648.8785270925255,54505.8293003808,statistical_outlier_volume
OUT_15627,2024,11,DIST_NW_01,SKU_06,580.660850015954,48775.49733983399,statistical_outlier_volume
OUT_05156,2023,7,DIST_W_03,SKU_06,606.428282480336,50939.94354317553,statistical_outlier_volume
OUT_12131,2025,5,DIST_C_03,SKU_06,512.7522067543064,43071.19499596173,statistical_outlier_volume
OUT_02636,2025,3,DIST_W_01,SKU_06,670.2760805680776,56303.21836883591,statistical_outlier_volume
OUT_16180,2023,5,DIST_NW_02,SKU_06,564.1074024981243,47385.04000283231,statistical_outlier_volume
OUT_14922,2023,8,DIST_NW_02,SKU_06,600.7513244611796,50463.093759899086,statistical_outlier_volume
OUT_12625,2025,2,DIST_C_02,SKU_06,666.3516723789028,55973.51516798115,statistical_outlier_volume
OUT_16199,2023,1,DIST_NW_01,SKU_06,567.4105711610788,47662.51749341071,statistical_outlier_volume
OUT_07300,2023,12,DIST_W_03,SKU_06,460.0354185680244,38643.00977988488,statistical_outlier_volume
OUT_18191,2025,1,DIST_S_02,SKU_06,493.7149111881256,41472.05970913264,statistical_outlier_volume
OUT_02056,2024,9,DIST_W_01,SKU_06,557.5918074751519,46837.69320432505,statistical_outlier_volume
OUT_16488,2023,6,DIST_NW_02,SKU_06,606.3828443524817,50936.13050632977,statistical_outlier_volume
OUT_09533,2025,9,DIST_C_03,SKU_06,674.1022450724064,56624.550403285575,statistical_outlier_volume
OUT_03957,2024,12,DIST_W_02,SKU_06,996.3527400453112,83693.59833808054,statistical_outlier_volume
OUT_16924,2025,12,DIST_NW_01,SKU_06,473.4889697630781,39773.05042477067,statistical_outlier_volume
OUT_16848,2023,12,DIST_NW_02,SKU_06,801.8904588015413,67358.8369796398,statistical_outlier_volume
OUT_03556,2024,11,DIST_W_03,SKU_06,520.5800720579726,43728.70074773789,statistical_outlier_volume
OUT_19154,2023,1,DIST_S_01,SKU_06,515.1752253187756,43274.67776504342,statistical_outlier_volume
OUT_14602,2024,2,DIST_NW_02,SKU_06,636.7461474615551,53486.67250147684,statistical_outlier_volume
OUT_15353,2025,8,DIST_NW_02,SKU_06,607.1747653414782,51002.68346288275,statistical_outlier_volume
OUT_11767,2023,4,DIST_C_01,SKU_06,939.4031783502504,78909.86159110944,statistical_outlier_volume
OUT_02475,2024,9,DIST_W_01,SKU_06,627.5141887941842,52711.162862041856,statistical_outlier_volume
OUT_00815,2024,4,DIST_W_01,SKU_06,740.6291683077702,62212.84877263765,statistical_outlier_volume
